Time,Motor,CF,IF,Brake,E,Mean,Skewness,MAD,SF,Distance,SAD,P2P,Var,Kurtosis,Safety,Door,Resv-1,Resv-2,Resv-3,FFT-Motor Freq,FFT-Motor Mag,FFT-Resv1 Freq,FFT-Resv1 Mag,FFT-Resv2 Freq,FFT-Resv2 Mag,door,workMode,vibration_y,openCloseDoorNum,floor,cumulativeRunNum,vibration_z,vibration_x,velocity,motion,mileage
2024-04-19 20:58:56:450,0.3173924936,10.0,1000.0,0.0537125732,341.0,38.0,13.0,166.0,50.0,0.0,341.0,2115.0,650.0,0.0,0.0,0.793481195,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:56:500,0.30518509,9.0,1000.0,0.0537125732,336.0,38.0,12.0,172.0,50.0,0.0,336.0,2101.0,648.0,0.0,0.0,0.7910397144,0.29908138819999996,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:56:550,0.3173924936,10.0,1000.0,0.0537125732,340.0,39.0,14.0,166.0,50.0,0.0,340.0,2093.0,646.0,0.0,0.0,0.7898189741,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:56:600,0.30518509,10.0,1000.0,0.0537125732,318.0,36.0,13.0,158.0,50.0,0.0,318.0,2098.0,647.0,0.0,0.0,0.7898189741,0.29908138819999996,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:56:650,0.3173924936,10.0,1000.0,0.0537125732,334.0,37.0,14.0,159.0,50.0,0.0,334.0,2103.0,648.0,0.0,0.0,0.7910397144,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:56:700,0.30518509,10.0,1000.0,0.0537125732,321.0,37.0,13.0,156.0,50.0,0.0,321.0,2104.0,648.0,0.0,0.0,0.7910397144,0.29908138819999996,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:56:750,0.3173924936,10.0,1000.0,0.0537125732,348.0,39.0,14.0,160.0,50.0,0.0,348.0,2108.0,649.0,0.0,0.0,0.7922604547,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:56:800,0.30518509,10.0,1000.0,0.0537125732,331.0,39.0,13.0,159.0,50.0,0.0,331.0,2107.0,649.0,0.0,0.0,0.7922604547,0.29908138819999996,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:56:850,0.3173924936,10.0,1000.0,0.0537125732,330.0,38.0,14.0,155.0,50.0,0.0,330.0,2108.0,649.0,0.0,0.045777763799999996,0.7922604547,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:56:900,0.30518509,10.0,1000.0,0.0537125732,329.0,38.0,13.0,157.0,50.0,0.0,329.0,2106.0,648.0,0.0,0.0534073911,0.7922604547,0.29908138819999996,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:56:950,0.3173924936,10.0,1000.0,0.0537125732,338.0,38.0,14.0,155.0,50.0,0.0,338.0,2109.0,649.0,0.0,0.0534073911,0.7922604547,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:57:000,0.30518509,10.0,1000.0,0.0537125732,334.0,38.0,13.0,161.0,50.0,0.0,334.0,2099.0,647.0,0.0,0.0534073911,0.7898189741,0.29908138819999996,0.29908138819999996,0.0076296273,0.5,0.30518509475997,0.78,0.4760887478255532,0.42,30.396435438093015,5.0,1.0,0.001483428874053061,32567.0,16.0,31680.0,0.03783448040485382,0.02432439476251602,0.0,0.0,1418936.5
2024-04-19 20:58:57:050,0.3173924936,10.0,1000.0,0.0537125732,341.0,37.0,14.0,161.0,50.0,0.0,341.0,2105.0,648.0,15.0,0.0534073911,0.7910397144,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:57:100,0.30518509,115.0,1027.0,0.0537125732,516.0,264.0,1424.0,114.0,63.0,0.0,516.0,1338.0,503.0,396.0,0.0534073911,0.6311227350999999,0.29908138819999996,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:57:150,0.3173924936,2.0,1000.0,0.0537125732,84.0,15.0,1.0,244.0,79.0,0.0,84.0,852.0,412.0,391.0,0.0534073911,0.5029450036,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:57:200,0.29908138819999996,2.0,1000.0,0.0537125732,78.0,11.0,0.0,286.0,78.0,0.0,78.0,863.0,415.0,561.0,0.0534073911,0.5066072245,0.29908138819999996,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:57:250,0.3173924936,2.0,1000.0,0.0537125732,87.0,12.0,0.0,246.0,78.0,0.0,87.0,869.0,416.0,578.0,0.0534073911,0.5078279648,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:57:300,0.30518509,2.0,1000.0,0.0537125732,82.0,11.0,0.0,301.0,78.0,0.0,82.0,870.0,417.0,721.0,0.0534073911,0.5090487051,0.29908138819999996,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
