,Time,Motor,Brake,Safety,Door,Resv-1,Resv-2,Resv-3,FFT-Motor Freq,FFT-Motor Mag,FFT-Resv1 Freq,FFT-Resv1 Mag,FFT-Resv2 Freq,FFT-Resv2 Mag,Distance,floor,velocity,height,mileage,openCloseDoorNum,cumulativeRunNum,vibration_x,vibration_y,vibration_z
0,2024-02-19 16:34:25:000,24.0546887938,1.0766929446,0.09918515489999999,0.3930783766,24.005859179399998,23.9326147578,0.09155552759999999,1.01,0.6164738914151394,1.0,0.6164738914151394,33.9,44.10534989471087,0.0,2.0,1.4949041604995728,648459.1875,61650.0,0.07282591611146927,0.5328980088233948,0.001954361330717802,5.0,1.0
1,2024-02-19 16:34:25:050,23.9326147578,1.0766929446,0.09918515489999999,0.3942991169,24.10962211,23.7922296164,0.09155552759999999,,,,,,,0.0,,,,,,,,,
2,2024-02-19 16:34:25:100,23.7861259146,1.0766929446,0.09918515489999999,0.3930783766,24.2439035496,23.9692369686,0.09155552759999999,,,,,,,0.0,,,,,,,,,
3,2024-02-19 16:34:25:150,24.1462443208,1.0779136849,0.09918515489999999,0.3955198572,24.3476664802,24.0729998992,0.09155552759999999,,,,,,,0.0,,,,,,,,,
4,2024-02-19 16:34:25:200,24.3415627784,1.0779136849,0.09918515489999999,0.3942991169,24.9397255548,24.207281338799998,0.09155552759999999,,,,,,,0.0,,,,,,,,,
5,2024-02-19 16:34:25:250,24.71999229,1.0779136849,0.09918515489999999,0.3955198572,25.269325452,24.9153107476,0.09155552759999999,,,,,,,0.0,,,,,,,,,
6,2024-02-19 16:34:25:300,25.366984680799998,1.0779136849,0.09918515489999999,0.3942991169,25.696584578,25.1106292052,0.09155552759999999,,,,,,,0.0,,,,,,,,,
7,2024-02-19 16:34:25:350,25.6477549636,1.0791344252,0.09918515489999999,0.3955198572,26.001769667999998,25.8125549122,0.09155552759999999,,,,,,,0.0,,,,,,,,,
8,2024-02-19 16:34:25:400,26.5083769174,1.0779136849,0.1068147822,0.3942991169,26.3740954778,26.1360511076,0.09155552759999999,,,,,,,0.0,,,,,,,,,
9,2024-02-19 16:34:25:450,26.8440805164,1.0791344252,0.09918515489999999,0.3955198572,27.216406326199998,26.947843447,0.09155552759999999,,,,,,,0.0,,,,,,,,,
10,2024-02-19 16:34:25:500,27.7169098738,1.0779136849,0.1068147822,0.3942991169,27.863398717,27.4300358892,0.09155552759999999,,,,,,,0.0,,,,,,,,,
11,2024-02-19 16:34:25:550,28.4798725988,1.0791344252,0.09918515489999999,0.3955198572,28.3944207736,28.2967615448,0.09155552759999999,,,,,,,0.0,,,,,,,,,
12,2024-02-19 16:34:25:600,28.608050336599998,1.0779136849,0.1068147822,0.3942991169,28.7911613906,28.6446725474,0.09155552759999999,,,,,,,0.0,,,,,,,,,
13,2024-02-19 16:34:25:650,28.8338873032,1.0791344252,0.09918515489999999,0.3955198572,29.0658279716,28.5714281258,0.09155552759999999,,,,,,,0.0,,,,,,,,,
14,2024-02-19 16:34:25:700,29.273353832799998,1.0779136849,0.09918515489999999,0.3942991169,28.9742724446,28.8033687942,0.09155552759999999,,,,,,,0.0,,,,,,,,,
15,2024-02-19 16:34:25:750,29.0597242698,1.0779136849,0.09155552759999999,0.3955198572,29.212316814799998,29.1085538842,0.0839259003,,,,,,,0.0,,,,,,,,,
16,2024-02-19 16:34:25:800,28.9986872518,1.0779136849,0.09918515489999999,0.3942991169,29.1390723932,28.9132354266,0.09155552759999999,,,,,,,0.0,,,,,,,,,
17,2024-02-19 16:34:25:850,28.8155761978,1.0779136849,0.09918515489999999,0.3955198572,28.99258355,28.7911613906,0.09155552759999999,,,,,,,0.0,,,,,,,,,
18,2024-02-19 16:34:25:900,28.7057095654,1.0779136849,0.1068147822,0.3930783766,28.9498576374,28.5836355294,0.09155552759999999,,,,,,,0.0,,,,,,,,,
19,2024-02-19 16:34:25:950,28.6446725474,1.0779136849,0.09918515489999999,0.3942991169,28.68739846,28.6019466348,0.09155552759999999,,,,,,,0.0,,,,,,,,,
20,2024-02-19 16:34:26:000,28.5897392312,1.0766929446,0.09918515489999999,0.3930783766,28.431042984399998,28.2723467376,0.09155552759999999,1.01,0.6164738914151394,1.01,0.6164738914151394,40.51,33.37504196295032,0.0,,,,,,,,,
21,2024-02-19 16:34:26:050,28.4005244754,1.0779136849,0.09918515489999999,0.3942991169,28.2540356322,28.3028652466,0.09155552759999999,,,,,,,0.0,,,,,,,,,
22,2024-02-19 16:34:26:100,28.7362280744,1.0766929446,0.09918515489999999,0.3930783766,28.516494809599997,28.3333837556,0.09155552759999999,,,,,,,0.0,,,,,,,,,
23,2024-02-19 16:34:26:150,28.8277836014,1.0779136849,0.09918515489999999,0.3942991169,28.6996058636,28.406628177199998,0.09155552759999999,,,,,,,0.0,,,,,,,,,
24,2024-02-19 16:34:26:200,28.962065041,1.0779136849,0.1068147822,0.3930783766,28.8033687942,28.376109668199998,0.09155552759999999,,,,,,,0.0,,,,,,,,,
25,2024-02-19 16:34:26:250,28.9071317248,1.0779136849,0.09918515489999999,0.3942991169,29.2855612364,28.662983652799998,0.09155552759999999,,,,,,,0.0,,,,,,,,,
26,2024-02-19 16:34:26:300,29.1207612878,1.0766929446,0.09918515489999999,0.3930783766,29.450361185,29.1940057094,0.09155552759999999,,,,,,,0.0,,,,,,,,,
27,2024-02-19 16:34:26:350,29.7982721876,1.0766929446,0.09918515489999999,0.3942991169,29.5663315192,29.5968500282,0.09155552759999999,,,,,,,0.0,,,,,,,,,
